job_title,company,location,country,language,work_model,category,url
Talent Acquisition Manager,Northstar Technologies,Berlin,Germany,English,Remote,Talent Acquisition,https://example.com/jobs/001
Senior Recruiter,Alpine Systems,Munich,Germany,German,Hybrid,Talent Acquisition,https://example.com/jobs/002
Recruiting Operations Specialist,Nova People Solutions,Düsseldorf,Germany,English,Hybrid,Recruiting Operations,https://example.com/jobs/003
HR Technology Specialist,Riverstone Group,Hamburg,Germany,English,Remote,HR Technology,https://example.com/jobs/004
People Operations Coordinator,BrightPath Labs,Cologne,Germany,German,On-site,People Operations,https://example.com/jobs/005
Talent Acquisition Lead,Orion Software,Frankfurt,Germany,English,Remote,Talent Acquisition,https://example.com/jobs/006
Recruitment Manager,Oakridge Logistics,Amsterdam,Netherlands,Dutch,Hybrid,Talent Acquisition,https://example.com/jobs/007
HR Process Improvement Manager,Cloudline Europe,Germany,Germany,English,Remote,HR Operations,https://example.com/jobs/008
Technical Recruiter,BluePeak AI,Paris,France,French,On-site,Talent Acquisition,https://example.com/jobs/009
Global Recruiting Program Manager,Summit Digital,Germany,Germany,English,Remote,Recruiting Operations,https://example.com/jobs/010
